System,SMILES,RT
dataset_83,O(c1c2c(ccc1)cccc2)C(C(=O)N(CC)CC)C,84
dataset_83,Oc1c(/N=N/c2c(cc(cc2)C)C)c2c(cc1)cccc2,84
dataset_83,c1(cc(c(cc1)O)OC)CNC(=O)CCCC/C=C/C(C)C,84.6
dataset_83,O1c2c(c(c(C(=O)NN(C(=O)c3cc(cc(c3)C)C)C(C)(C)C)cc2)C)CCC1,84.6
dataset_83,O=C(N[C@H](c1ccc(cc1)C)C)C(NC(=O)OC(C)C)C(C)C,84.6
dataset_83,c1(c(cccc1)OC(C)C)OC(=O)NC,84.6
dataset_83,Oc1c(/N=N/c2ccccc2)c2c(cc1)cccc2,84.6
dataset_83,O([C@@H]1[C@@H]2[C@H]([C@H](C=CC2=C[C@@H](C1)C)C)CC[C@H]1OC(=O)C[C@H](O)C1)C(=O)[C@H](CC)C,85.2
dataset_83,c12c(sc(n1)OCC(=O)N(c1ccccc1)C)cccc2,85.2
dataset_83,c1ccc2c(c1)sc(n2)SC,85.8
dataset_83,[C@@H]12[C@@H]([C@@]3(C(=CC(=O)CC3)C(=O)C2)C)CC[C@]2([C@H]1CCC2=O)C,85.8
dataset_83,C1(=C(OCCS1)C)C(=O)Nc1ccccc1,85.8
dataset_83,O1C(=O)C[C@H]2[C@](C1)([C@@H]1[C@@H](CC2)[C@H]2[C@](CC1)([C@](CC2)(C)O)C)C,86.4
dataset_83,O=C(N(C)C)C(N(C(=O)/C=C/C)CCC)CC,86.4
dataset_83,O=C(N(CC)CC)c1cccc(C)c1,86.4
dataset_83,S(P(=O)(OCC)N1C(=O)SCC1)C(CC)C,86.4
dataset_83,N1(C(=O)C(=C(C1)C)CC)C(=O)NCCc1ccc(cc1)S(=O)(=O)NC(=O)N[C@H]1CC[C@@H](CC1)C,86.4
dataset_83,N(c1c(cccc1C)C)(C(C(=O)OC)C)C(=O)COC,86.4
dataset_83,O1CC(N(c2c(CC)cccc2C)C(=O)C1)C,86.4
dataset_83,[C@@]12([C@H]([C@H]3[C@@H]([C@@]4(C(=CC(=O)CC4)CC3)C)CC2)CC[C@@H]1C(=O)C)C,86.4
dataset_83,C1(C(=O)N(N(C1=O)c1ccccc1)c1ccccc1)(COC(=O)CCC(=O)O)CCCC,86.4
dataset_83,[C@H]12[C@H]([C@H]3[C@](CC2)(C(=O)CC3)C)CCC2=C(C(=O)CC[C@]12C)O,87
dataset_83,N1S(=O)(=O)OC(=CC1=O)C,87
dataset_83,[C@@]123O[C@@H]1C[C@]1([C@H]([C@@H]2[C@@H](CC2=CC(=O)CC[C@]32C)C(=O)OC)CC[C@]21OC(=O)CC2)C,87
dataset_83,O[C@@]1([C@@]2([C@H]([C@H]3C(=C4C(=CC(=O)CC4)CC3)C=C2)CC1)CC)C#C,87
dataset_83,c1(cc(ccc1)C)OC(=O)NC,87
dataset_83,C(COC(=O)NC(C)C)(COC(=O)N)(CCC)C,87.6
dataset_83,[C@@H]12[C@@H]([C@@]3(C(=CC(=O)C=C3)C(=C)C2)C)CC[C@]2([C@H]1CCC2=O)C,87.6
dataset_83,CCOP(=O)(OCC)OCC,87.6
dataset_83,c1(Oc2ccc(cc2)OC)ccc(cc1)NC(=O)N(C)C,88.2
dataset_83,n12nnnc1CCCCC2,88.2
dataset_83,C(=O)(N1C(CCO)CCCC1)OC(CC)C,88.2
dataset_83,c1(NS(=O)(=O)c2ccc(cc2)N)cc(nc(n1)OC)OC,88.2
dataset_83,c12c(scn1)cccc2,88.8
dataset_83,c1(c(cccc1)OC(=O)NC)C1OCCO1,88.8
dataset_83,c1(c2ccccc2)ccc(cc1)C(=O)CCC(=O)O,88.8
dataset_83,S(=O)(=O)(Nc1onc(c1C)C)c1ccc(N)cc1,88.8
dataset_83,Cn1nnc2ccccc12,89.4
dataset_83,C(=O)(C(=O)N(c1c(cccc1CC)CC)COC)O,89.4
dataset_83,O=C(N(N(C)C(=O)C)c1ccccc1)C(=O)N(C)C,89.4
dataset_83,[C@@]12(C3C(C4[C@](CC3)([C@H](CC4)O)C)CC[C@H]2CC(=O)C=C1C)C,89.4
dataset_83,c1cc(ccc1N)S(=O)(=O)N(CC(C)C)C[C@H]([C@@H](NC(=O)O[C@H]1CO[C@H]2OCC[C@@H]12)Cc1ccccc1)O,90
dataset_83,CCOc1cc(ccc1C(=O)OC)NC(=O)C,90
dataset_83,c1(cc(cc(c1)C)C)OCC1OC(=O)NC1,90
dataset_83,c1[n+]([n-]o/c/1=N/C(=O)Nc1ccccc1)C(Cc1ccccc1)C,90
dataset_83,O(c1ccc(C(=O)NCC)cc1)C,90.6
dataset_83,C1(c2c(c3c([nH]2)c(ccc3)CC)CCO1)(CC(=O)O)CC,91.2
dataset_83,CC(C(=NOC(=O)NC)C)S(=O)(=O)C,91.8
dataset_83,c12c(C(C(O2)(C)C)O)cccc1OC(=O)NC,91.8
dataset_83,c12c(noc1cccc2)CS(=O)(=O)N,91.8
dataset_83,C1(=O)CC[C@]2(C(=C1)CC[C@H]1[C@@H]3CC[C@](O)([C@@]3(C)CC[C@H]21)C)C,92.4
dataset_83,O[C@@H]1[C@@]2([C@H]([C@H]3[C@@H]([C@@]4(C(=CC(=O)C=C4)CC3)C)CC2)CC1)C,92.4
dataset_83,c1(C(=O)N(CC)CC)cc(c(cc1)O)OC,92.4
dataset_83,O(c1c(cccc1)C)CC(O)CO,92.4
dataset_83,c1(c(=O)nc([nH]n1)SC)C(C)(C)C,92.4
dataset_83,c1(c(c(ncn1)OC)OC)NS(=O)(=O)c1ccc(cc1)N,92.4
dataset_83,C(=O)(/C(=C/OC)/c1c(cccc1)Oc1cc(ncn1)Oc1c(cccc1)C#N)O,93
dataset_83,C12c3c(CCN1C(=O)CN(C2)C(=O)C1CCCCC1)cccc3,93
dataset_83,c1(S(=O)(=O)Nc2cc(on2)C)ccc(cc1)N,93
dataset_83,c1(S(=O)(=O)Nc2cc(ncn2)OC)ccc(cc1)N,93
dataset_83,n1(c(nc(n1)C(C)(C)C)SCC(=O)OCC)C(=O)N(C)C,93
dataset_83,OC(C1CC1)(c1ccc(OC)cc1)c1cncnc1,93.6
dataset_83,COC(=O)N[C@@H](C(C)(C)C)C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)CN(Cc1ccc(cc1)c1ccccn1)NC(=O)[C@H](C(C)(C)C)NC(=O)OC,93.6
dataset_83,S(=O)(=O)(NC(=O)OC)c1ccc(N)cc1,94.2
dataset_83,c1c(cc2c(c1)nn[nH]2)C,95.4
dataset_83,c1cc(c2c(c1)nn[nH]2)C,95.4
dataset_83,O=C(O)c1cc(NCCCC)c(Oc2ccccc2)c(S(=O)(=O)N)c1,95.4
dataset_83,N1(c2ccc(cc2)C(C(=O)O)C)C(=O)c2c(C1)cccc2,95.4
dataset_83,c12C(=NCC(=O)Nc1ccc(c2)N(O)O)c1ccccc1,95.4
dataset_83,c1cc(c2c(c1)nnn2C)C,96
dataset_83,S(=O)(=O)(Nc1nc(OC)cc(OC)n1)c1ccc(NC(=O)C)cc1,96
dataset_83,CC(=O)CCCCn1c(=O)n(C)c2ncn(C)c2c1=O,96
dataset_83,O(c1c(OCC)cc2ncc(c(O)c2c1)C(=O)OCC)CCCCCCCCCC,96.6
dataset_83,c1(NS(=O)(=O)c2ccc(cc2)NC(=O)C)noc(c1)C,96.6
dataset_83,c1(ccc(cc1)C(C)C)NC(=O)N,97.2
dataset_83,[C@H](Cc1ccccc1)(C[C@@H]([C@H](Cc1ccccc1)NC(=O)OCc1cncs1)O)NC(=O)[C@@H](NC(=O)N(Cc1nc(sc1)C(C)C)C)C(C)C,97.2
dataset_83,c12c(nc(cn1)NS(=O)(=O)c1ccc(cc1)N)cccc2,97.2
dataset_83,c1(c(=O)n(c(=O)[nH]n1)N)C(C)(C)C,97.8
dataset_83,O=S(=O)(c1ccc(N)cc1)Nc1nc(C)cc(C)n1,97.8
dataset_83,S(=O)(c1c(cc(OC(=O)NC)cc1C)C)C,98.4
dataset_83,[nH]1nnc2c1cccc2,99
dataset_83,c1(S(=O)(=O)Nc2nc(ccn2)C)ccc(cc1)N,99
dataset_83,[C@H]12[C@H]([C@H]3[C@](C[C@@H]2O)([C@H](CC3)C(=O)CO)C)CCC2=CC(=O)CC[C@]12C,99.6
dataset_83,c1(c([C@@H](NC(=O)Cc2cc(c(cc2)C(=O)O)OCC)CC(C)C)cccc1)N1CCCCC1,99.6
dataset_83,O1c2c3c4c5nc6n(c5c(NC(=O)/C(=C\C=C\[C@@H]([C@H](O)[C@H]([C@@H](O)[C@H]([C@H](OC(=O)C)[C@@H]([C@@H](OC)/C=C/O[C@@]1(C3=O)C)C)C)C)C)/C)c(O)c4c(O)c2C)ccc(c6)C,99.6
dataset_83,c1(S(=O)(=O)Nc2ncccn2)ccc(cc1)N,99.6
dataset_83,[C@@H]1(CN([C@@H](C1)C(=O)O)C(=O)CP(=O)(OC(OC(=O)CC)C(C)C)CCCCc1ccccc1)C1CCCCC1,100.2
dataset_83,O=C1N(Cc2ccc(c3ccccc3c3nnn[nH]3)cc2)C(=NC21CCCC2)CCCC,100.8
dataset_83,P(=O)(O/C(=C/C(=O)NC)/C)(OC)OC,100.8
dataset_83,c1(c(c(cc(c1)C(=O)O)S(=O)(=O)N)Oc1ccccc1)N1CCCC1,100.8
dataset_83,NS(=O)(=O)c1ccc(N)cc1,100.8
dataset_83,c1(S(=O)(=O)Nc2ccccn2)ccc(cc1)N,101.4
dataset_83,C12C(O2)c2c(N(c3c1cccc3)C(=O)N)cccc2,102
dataset_83,c1(C(=O)N(CC)CC)cccnc1,102
dataset_83,S(=O)(=O)(Nc1ncc(OC)cn1)c1ccc(N)cc1,102
dataset_83,C1(=O)N(CCN1C)C,102.6
dataset_83,S(c1cc2[nH]c(nc2cc1)NC(=O)OC)c1ccccc1,102.6
dataset_83,c1(c(cccc1)OC)OCC(CO)O,102.6
dataset_83,S(P(=O)(OC)OC)CC(=O)NC,102.6
dataset_83,S(P(=O)(OC)NC(=O)C)C,103.2
dataset_83,S(=O)(=O)(c1cc2nc([nH]c2cc1)NC(=O)OC)CCC,103.8
dataset_83,[C@@H]12[C@@H]([C@@]3(C(=CC(=O)CC3)[C@H](C2)O)C)CC[C@]2([C@H]1CC[C@@H]2O)C,105
dataset_83,S(=O)(C(C)(C)/C=N/OC(=O)NC)C,105
dataset_83,O=C(c1cc2nc([nH]c2cc1)NC(=O)OC)c1ccccc1,105
dataset_83,NC(=O)CS(=O)C(c1ccccc1)c1ccccc1,105
dataset_83,O1C([C@H](OC)[C@@H](OC(=O)N)[C@@H](O)[C@@H]1Oc1c(c2oc(=O)c(NC(=O)c3cc(c(O)cc3)CC=C(C)C)c(O)c2cc1)C)(C)C,105
dataset_83,S(=O)(=O)(Nc1nc(cc(n1)C)C)c1ccc(NC(=O)C)cc1,105.6
dataset_83,S(=O)(=O)(NC(=O)Nc1nc(cc(n1)OC)OC)c1c(C(=O)N(C)C)cc(NC=O)cc1,106.2
dataset_83,c1(S(=O)(=O)Nc2sc(nn2)C)ccc(cc1)N,106.2
dataset_83,c1(cc(=O)[nH]c(=S)[nH]1)CCC,106.8
dataset_83,O=c1nc([nH]nc1c1ccccc1)C,106.8
dataset_83,CC(=O)Nc1ccc(cc1)O,107.4
dataset_83,S(P(=O)(OC)N)C,108.6
dataset_83,C(C(=O)N(c1c(cccc1CC)C)C(COC)C)S(=O)(=O)O,109.2
dataset_83,O=C1NCNC(=O)C1(c1ccccc1)CC,109.2
dataset_83,[C@]12([C@@](C(=O)CO)(CC[C@H]1[C@H]1[C@@H]([C@@]3(C(=CC(=O)CC3)CC1)C)[C@H](C2)O)O)C,110.4
dataset_83,c1ccc2c(c1O)[nH]nn2,111
dataset_83,O[C@]1([C@@]2([C@H]([C@H]3[C@@H]([C@@]4(C(=CC(=O)C=C4)[C@H](C3)C)C)[C@@H](O)C2)CC1)C)C(=O)CO,111
dataset_83,S1C(C(=O)NC1=O)Cc1ccc(OCCc2ncc(cc2)CC)cc1,111
dataset_83,Nc1ccc(S(=O)(=O)Nc2nccs2)cc1,111.6
dataset_83,c1(sc(nn1)NC(=O)C)S(=O)(=O)N,112.2
dataset_83,O[C@@]1([C@]2([C@@H]([C@@H]3[C@@H]([C@@]4([C@@H](CC3)C[C@@H](O)CC4)C)C(=O)C2)CC1)C)C(=O)CO,112.2
dataset_83,C(=N\OC(=O)NC)(/C(S(=O)C)C)\C,112.8
dataset_83,n1c(nc(nc1C)OC)N,114
dataset_83,O1C(C(=O)N=C1N)c1ccccc1,115.2
dataset_83,O(c1c2c3c([C@@H](NC(=O)C)CCc2cc(OC)c1OC)cc(=O)c(OC)cc3)C,115.8
dataset_83,c1(S(=O)(=O)Nc2nccs2)ccc(cc1)NC(=O)C,115.8
dataset_83,[C@H]12[C@H]3[C@@H]([C@@]4([C@@H](CC3)C[C@@H](CC4)O)C)[C@H](C[C@@]1([C@](CC2)(C(=O)CO)O)C)O,117
dataset_83,O=C1N([C@H](C(=O)N)CC)CCC1,117
dataset_83,Cc1cccc(C)c1N(Cn1cccn1)C(=O)CS(=O)(=O)O,117
dataset_83,c1c(nc(nc1C)C(C)C)O,117
dataset_83,O[C@@]1([C@@]2([C@H]([C@H]3[C@@H]([C@@]4([C@@H](CC3)Cc3[nH]ncc3C4)C)CC2)CC1)C)C,117
dataset_83,Nc1nc2c(s1)cccc2,117.6
dataset_83,C1(c2ccccc2)CN(C(=O)C1)CC(=O)N,117.6
dataset_83,c12c([nH]c(n2)NC(=O)OC)ccc(c1)S(=O)c1ccccc1,117.6
dataset_83,O[C@]1([C@@]2([C@H]([C@H]3[C@@H]([C@@]4([C@H](CC3)C[C@H](O)CC4)C)[C@@H](O)C2)CC1)C)C(=O)CO,117.6
dataset_83,c1(cc(=O)[nH]c(=S)[nH]1)C,123.6
dataset_83,O=C(Nc1c2c(ccc1)cccc2)c1c(C(=O)O)cccc1,124.8
dataset_83,[nH]1c(=O)cc[nH]c1=S,126
dataset_83,c1ccccc1N(C(C)C)C(=O)CS(=O)(=O)O,130.8
dataset_83,n1(c2ccccc2)c(=O)c(c(n1C)C)NC=O,135
dataset_83,c12c(c(=O)n(c(=O)[nH]1)C)n(cn2)C,135.6
dataset_83,c1ccc(c(c1C)N(C(=O)C(=O)O)Cn1nccc1)C,136.8
dataset_83,c12c(nc([nH]1)NC(=O)OC)cccc2,142.8
dataset_83,n1(c2ccccc2)c(=O)c(c(n1C)C)NC(=O)C,143.4
dataset_83,[C@@]12([C@H]([C@H]3[C@@H](O1)COC(O3)(C)C)OC(O2)(C)C)C(=O)O,143.4
dataset_83,n1(c2ccccc2)c(=O)c(c(n1C)C)N,145.8
dataset_83,O=c1n(c(=O)n(c2ncn(c12)CC(O)CO)C)C,150.6
dataset_83,c12n(c(nc1c(cc(c2)c1n(c2c(n1)cccc2)C)C)CCC)Cc1ccc(cc1)c1c(cccc1)C(=O)O,156
dataset_83,NC(=O)CN1CCCC1=O,160.2
dataset_83,Cc1csc(C)c1N(C(C)COC)C(=O)C(=O)O,161.4
dataset_83,O=S(c1nc2cc(OC)ccc2[nH]1)Cc1ncc(C)c(OC)c1C,161.4
dataset_83,O=C(N(c1c(cccc1C)CC)C(COC)C)C(=O)O,165
dataset_83,c1(c2cscn2)[nH]c2c(n1)cccc2,166.2
dataset_83,O=c1n(n(c(c1NC(=O)c1cnccc1)C)C)c1ccccc1,168
dataset_83,On1nnc2c1cccc2,178.8
dataset_83,c1(c(Nc2cc(ccc2)C)ccnc1)S(=O)(=O)NC(=O)NC(C)C,184.2
dataset_83,O=c1nc[nH]c2[nH]ncc12,186.6
dataset_83,C1(=NC(C(=O)N1)(C(C)C)C)c1c(cccn1)C(=O)O,192
dataset_83,c1ccccc1N(C(C)C)C(=O)C(=O)O,208.2
dataset_83,[N+](C)(C)(CCCCCCCCCCCCCCCCCC)CCCCCCCCCCCCCCCCCC,214.2
dataset_83,n1(c(/C=C(\Cc2cccs2)/C(=O)O)cnc1CCCC)Cc1ccc(cc1)C(=O)O,234
dataset_83,O1[C@H](CN(CC(Cc2ccc(C(C)(C)C)cc2)C)C[C@H]1C)C,240
dataset_83,O=C(NN)N,244.2
dataset_83,C(COC(=O)N)(COC(=O)N)(CCC)C,251.4
dataset_83,n1(c2ccccc2)n(c(c(c1=O)C(C)C)CN(C(Cc1ccccc1)C)C)C,270
dataset_83,O=c1n(n(c(c1NC(C)C)C)C)c1ccccc1,277.2
dataset_83,c1(C[C@H](N(CC#C)C)C)ccccc1,277.8
dataset_83,c1(c2c(oc1CCCC)ccc(c2)NS(=O)(=O)C)C(=O)c1ccc(cc1)OCCCN(CCCC)CCCC,288.6
dataset_83,O(C(=O)C1(c2ccccc2)CCN(CC1)CCC(c1ccccc1)(c1ccccc1)C#N)CC,306
dataset_83,O([C@](c1ccccc1)([C@@H](CN(C)C)C)Cc1ccccc1)C(=O)CC,309
dataset_83,N#CC(C(C)C)(CCCN(CCc1ccc(OC)c(OC)c1)C)c1ccc(OC)c(OC)c1,309.6
dataset_83,COC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(=O)O)NCCC(C)(C)C,310.8
dataset_83,N1(C(CCC)Cc2ccccc2)CCCC1,314.4
dataset_83,[C@H]1(N([C@H](CC(=O)c2ccccc2)CCC1)C)C[C@@H](c1ccccc1)O,319.8
dataset_83,c1(c(cccc1)CC=C)OCC(CNC(C)C)O,324
dataset_83,CO/N=C(/c1csc(n1)N)\C(=O)N[C@@H]1C(=O)N2[C@@H]1SCC(=C2C(=O)O)CSC(=O)c1ccco1,325.2
dataset_83,OC(c1cc(OC(=O)N(C)C)cc(OC(=O)N(C)C)c1)CNC(C)(C)C,325.8
dataset_83,CN(CCOC(c1ccccc1)c1ccccc1)C,325.8
dataset_83,s1c(CN(c2ncccc2)CCN(C)C)ccc1,331.2
dataset_83,c1(ccc(cc1)CCOCC1CC1)OCC(CNC(C)C)O,331.8
dataset_83,O=C(Nc1c(cccc1C)C)C1N(CCCC1)CCCC,334.2
dataset_83,C(c1ccccc1)(C1CCCCC1)C(=O)OCCN(CC)CC,334.2
dataset_83,O(C(=O)C1=C(NC(=C(C1c1cc(N(O)O)ccc1)C(=O)OC)C)C)CCN(Cc1ccccc1)C,335.4
dataset_83,O(C(c1c(cccc1)C)c1ccccc1)CCN(C)C,335.4
dataset_83,CNCC[C@@H](Oc1ccccc1C)c1ccccc1,340.2
dataset_83,O(C(=O)C(Cc1c2c(ccc1)cccc2)CC1OCCC1)CCN(CC)CC,340.8
dataset_83,C(=O)(CCc1ccc(cc1)OCC(CNC(C)C)O)OC,342.6
dataset_83,O(C(=O)c1ccc(NCCCC)cc1)CCN(C)C,345
dataset_83,S1[C@H]2N(C(=O)[C@H]2NC(=O)Cn2nnnc2)C(=C(C1)CSc1sc(nn1)C)C(=O)O,346.2
dataset_83,N(C(Cc1ccccc1)C)CCC#N,346.2
dataset_83,O1[C@@H](n2nc(nc2)C(=O)N)[C@H](O)[C@H](O)[C@H]1CO,346.2
dataset_83,[N+](CCCCCCCCCCCC)(Cc1ccccc1)(C)C,348
dataset_83,O(c1cc(C(C(C)C)(CCCNC)C#N)ccc1OC)C,348
dataset_83,O(c1cc([C@@H](N(C)C)C)ccc1)C(=O)N(CC)C,348.6
dataset_83,c1(c(cc(cc1)C)C)/N=C/NC,350.4
dataset_83,C1(c2ccccc2)C(N(CCO1)CCOC(=O)C(c1ccccc1)CC)C,351
dataset_83,N(c1ncccc1)(Cc1ccccc1)CCN(C)C,352.8
dataset_83,O=c1nc(NC(C)C)[nH]c(NC(C)C)n1,353.4
dataset_83,[C@@H]1([C@@H]([C@@H](O[C@H]2[C@@H]([C@H](C[C@H](O2)C)N(C)C)O)[C@](C[C@H](/C(=N/OCOCCOC)/[C@@H]([C@H]([C@]([C@H](OC(=O)[C@@H]1C)CC)(C)O)O)C)C)(C)O)C)O[C@H]1C[C@]([C@H]([C@@H](O1)C)O)(OC)C,354
dataset_83,S1c2c(N(c3c1cccc3)CCCN(C)C)cc(cc2)C(=O)C,354.6
dataset_83,OC(COc1ccc(cc1)COCCOC(C)C)CNC(C)C,354.6
dataset_83,CN(CCCN1c2ccccc2CCc2c1cccc2)C,354.6
dataset_83,c1(c(cc(c(c1)S(=O)(=O)CC)N)OC)C(=O)NCC1N(CCC1)CC,355.8
dataset_83,OC1(C(CNC)c2ccc(OC)cc2)CCCCC1,355.8
dataset_83,n1c(n[nH]c1)O,357
dataset_83,S(=O)(=O)(O)CCCNC(=O)C,357
dataset_83,C1(c2cc(ccc2)O)(CN(CCCC1)C)CC,357
dataset_83,S1c2c(N(CCCN(C)C)c3c1cccc3)cc(cc2)C(=O)CC,357
dataset_83,C(CC)N(CCC)CCC,357.6
dataset_83,C1(=CCCNC)c2c(CCc3c1cccc3)cccc2,358.2
dataset_83,C12N(c3c(Cc4c1cccc4)cccc3)CCNC2,358.8
dataset_83,O(c1c(cc(NC(=O)N(CC)CC)cc1)C(=O)C)CC(O)CNC(C)(C)C,360.6
dataset_83,NC(CCCCC)C,361.8
dataset_83,O=C(Nc1c(cccc1C)C)CNCC,361.8
dataset_83,n1c(C(c2ccccc2)CCN(C)C)cccc1,362.4
dataset_83,[C@@]123c4c5O[C@H]2[C@H](C=C[C@H]1[C@@H](Cc4ccc5O)N(CC3)CC=C)O,363.6
dataset_83,N(CC)(CC)CC,364.2
dataset_83,NC12CC3(CC(C1)(CC(C2)C3)C)C,365.4
dataset_83,N(C(Cc1ccccc1)C)(C)C,366
dataset_83,Ic1c(c(I)c(NC(=O)COC)c(I)c1C(=O)NCC(O)CO)C(=O)N(CC(O)CO)C,366.6
dataset_83,[C@@]1(c2cc(ccc2)OC)([C@@H](CCCC1)CN)O,366.6
dataset_83,C1(/C(=C/C)/N(C(C1)C)C)(c1ccccc1)c1ccccc1,367.8
dataset_83,S1c2c(N(c3c1cccc3)CCCN(C)C)cccc2,369
dataset_83,O=c1nc([nH]c(NCC)n1)NCC,369
dataset_83,O([C@@H]1C[C@H]2N([C@@H](C1)CC2)C)C(=O)C(c1ccccc1)CO,369.6
dataset_83,NC(C12CC3CC(C1)CC(C2)C3)C,369.6
dataset_83,O=c1nc(NC(C)(C)C)[nH]c(n1)N,370.2
dataset_83,C(C(=O)N)(CNC(=O)[C@@H](C[C@@H]([C@H](C[C@H](Cc1cc(c(cc1)OC)OCCCOC)C(C)C)N)O)C(C)C)(C)C,371.4
dataset_83,C(C(=O)O)(C1NCCCC1)c1ccccc1,371.4
dataset_83,O=C(C(c1ccccc1)(c1ccccc1)CC(N(C)C)C)CC,372.6
dataset_83,c12/C(=C\CCN(C)C)/c3c(COc1ccc(c2)CC(=O)O)cccc3,372.6
dataset_83,C1=C(C[C@@H]([C@H]([C@@H]1OC(CC)CC)NC(=O)C)N)C(=O)OCC,372.6
dataset_83,O(C(=O)C(C1NCCCC1)c1ccccc1)C,373.2
dataset_83,COc1ccc(cc1)C(CN)C1(O)CCCCC1,373.2
dataset_83,OC1(C(CNC)c2ccc(O)cc2)CCCCC1,373.2
dataset_83,[C@@H]1(CN(S(=O)(=O)c2c1cc(s2)S(=O)(=O)N)CCCOC)NCC,373.8
dataset_83,NCCc1ccccc1,375
dataset_83,O1C(C(N(CC1)C)C)c1ccccc1,375
dataset_83,[C@@]123[C@H]([C@@]([C@@H](C[C@]([C@H]([C@@H]1C)O)(C=C)C)OC(=O)CSCCN(CC)CC)([C@@H](CC2)C)C)C(=O)CC3,375.6
dataset_83,O=C(N(C1CCN(CC1)CCc1ccccc1)c1ccccc1)CC,376.2
dataset_83,O(c1c(c(c(OCC(O)CNC(C)C)cc1C)C)C)C(=O)C,376.2
dataset_83,C1(=CCCN(C)C)c2c(COc3c1cccc3)cccc2,377.4
dataset_83,S1c2c(N(c3c1cccc3)CC(N(C)C)C)cccc2,377.4
dataset_83,N(CC/C=C\1/c2c(C=Cc3c1cccc3)cccc2)(C)C,378
dataset_83,c1cc(cc2[C@@]34CCCC[C@H]3[C@H](N(CC4)C)Cc12)OC,378
dataset_83,C1(C(CN(C1=O)CC)CCN1CCOCC1)(c1ccccc1)c1ccccc1,378
dataset_83,c1(C(C(N(CC)C)C)O)ccccc1,378.6
dataset_83,c12ccccc1[nH]cc2CCN,379.8
dataset_83,O=c1nc(NC(C)C)[nH]c(n1)N,380.4
dataset_83,NC12CC3CC(CC(C3)C1)C2,382.2
dataset_83,C1(=CCCN(C)C)c2c(CCc3c1cccc3)cccc2,382.2
dataset_83,O=C(C(N1CCCC1)C)c1ccc(cc1)C,383.4
dataset_83,S1[C@H]2N(C(=O)[C@H]2NC(=O)[C@H](N)c2ccc(O)cc2)C(=C(C1)C)C(=O)O,383.4
dataset_83,C1(C(c2ccc(cc2)OC)CN(C)C)(CCCCC1)O,384
dataset_83,c1(C[C@@H](N(Cc2ccccc2)C)C)ccccc1,384.6
dataset_83,OCC(CN1CCN(CC1)c1ccccc1)O,384.6
dataset_83,s1c(c(cc1)C)/C=C/C1=NCCCN1C,384.6
dataset_83,O1[C@@H]2[C@@]34[C@H]([C@H](N(CC4)C)Cc4c3c1c(OC(=O)C)cc4)C=C[C@@H]2OC(=O)C,385.2
dataset_83,O1[C@@H]2[C@@]34[C@H]([C@H](N(CC4)C)Cc4c3c1c(OC)cc4)CC[C@@H]2O,385.8
dataset_83,O=C(Nc1c(cccc1C)C)CN(CC)CC,386.4
dataset_83,c12c3C4=C[C@H](CN([C@@H]4Cc1c[nH]c2ccc3)C)C(=O)N(CC)CC,386.4
dataset_83,c12c(nc([nH]1)N)cccc2,387
dataset_83,O[C@H](COc1cccc2c1CCCC2=O)CNC(C)(C)C,387
dataset_83,Cc1ccc(c(c1)C)N(C)C=N,387
dataset_83,c12c(ccc(c1)CC(NCC)C)OCO2,387.6
