peak,measure_RT,cand_structure,MS_score,retention_score
4,88.80 ,O[C@@H]1[C@H](O)[C@@H](O)[C@H](OP(O)(O)=O)[C@@H](O)[C@@H]1O,1.000 ,-5.519431114
4,88.80 ,O[C@@H]1[C@H](O)[C@H](O)[C@@H](OP(O)(O)=O)[C@H](O)[C@H]1O,1.000 ,-5.390408039
4,88.80 ,O[C@@H]1CO[C@](O)(COP(O)(O)=O)[C@@H](O)[C@@H]1O,1.000 ,-5.779170036
4,88.80 ,O[C@@H]1COC(O)(COP(O)(O)=O)[C@@H](O)[C@@H]1O,1.000 ,-5.660948753
4,88.80 ,O[C@@H]1O[C@H](COP(O)(O)=O)[C@@H](O)[C@H](O)[C@@H]1O,1.000 ,-5.956180096
4,88.80 ,O[C@@H]1O[C@H](COP(O)(O)=O)[C@@H](O)[C@H](O)[C@H]1O,1.000 ,-5.666893005
4,88.80 ,O[C@@H]1O[C@H](COP(O)(O)=O)[C@H](O)[C@H](O)[C@H]1O,1.000 ,-5.907175541
4,88.80 ,O[C@H](COP(=O)(O)O)[C@@H](O)[C@H](O)[C@H](O)C=O,1.000 ,-5.794176102
4,88.80 ,O[C@H]1[C@H](O)[C@@H](O)[C@@H](OP(O)(O)=O)[C@@H](O)[C@@H]1O,1.000 ,-4.908427715
4,88.80 ,O[C@H]1[C@H](O)[C@@H](O)[C@H](OP(O)(O)=O)[C@H](O)[C@@H]1O,1.000 ,-5.482153893
4,88.80 ,O[C@H]1[C@H](O)[C@H](O)[C@H](OP(O)(O)=O)[C@@H](O)[C@@H]1O,1.000 ,-5.482153893
4,88.80 ,O[C@H]1O[C@H](COP(O)(O)=O)[C@@H](O)[C@H](O)[C@@H]1O,1.000 ,-5.667959213
4,88.80 ,O[C@H]1O[C@H](COP(O)(O)=O)[C@@H](O)[C@H](O)[C@H]1O,1.000 ,-5.43270731
4,88.80 ,O[C@H]1O[C@H](COP(O)(O)=O)[C@H](O)[C@H](O)[C@H]1O,1.000 ,-5.672828197
4,88.80 ,OC[C@@]1(O)O[C@H](COP(O)(O)=O)[C@@H](O)[C@@H]1O,1.000 ,-5.330798149
4,88.80 ,OC[C@@]1(O)O[C@H](COP(O)(O)=O)[C@H](O)[C@@H]1O,1.000 ,-5.566607475
4,88.80 ,OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)COP([O-])([O-])=O,1.000 ,-4.968468666
4,88.80 ,OC[C@@H](O)[C@H](O)[C@@H](O)C(=O)COP(O)(O)=O,1.000 ,-5.714629173
4,88.80 ,OC[C@@H](O)[C@H](O)[C@H](O)[C@@H](O)COP([O-])([O-])=O,1.000 ,-5.053628922
4,88.80 ,OC[C@@H]1O[C@@H](OP(O)(O)=O)[C@@H](O)[C@H](O)[C@@H]1O,1.000 ,-5.905349255
4,88.80 ,OC[C@@H]1OC(OP(O)(O)=O)[C@@H](O)[C@@H](O)[C@@H]1O,1.000 ,-5.56405735
4,88.80 ,OC[C@@H]1OC(OP(O)(O)=O)[C@@H](O)[C@H](O)[C@@H]1O,1.000 ,-5.920679092
4,88.80 ,OC[C@]1(O)O[C@H](COP(O)(O)=O)[C@H](O)[C@@H]1O,1.000 ,-5.823822975
4,88.80 ,OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)COP([O-])([O-])=O,1.000 ,-5.220396042
4,88.80 ,OC[C@H](O)[C@@H](O)[C@H](O)C(=O)COP(O)(O)=O,1.000 ,-5.91770649
4,88.80 ,OC[C@H]1O[C@@](CO)(OP(O)(O)=O)[C@@H](O)[C@@H]1O,1.000 ,-4.86747551
4,88.80 ,OC[C@H]1O[C@@H](OP(O)(O)=O)[C@H](O)[C@@H](O)[C@@H]1O,1.000 ,-5.600394726
4,88.80 ,OC[C@H]1O[C@H](OP(O)(O)=O)[C@@H](O)[C@@H](O)[C@@H]1O,1.000 ,-5.515331268
4,88.80 ,OC[C@H]1O[C@H](OP(O)(O)=O)[C@H](O)[C@@H](O)[C@@H]1O,1.000 ,-5.682071686
4,88.80 ,OC[C@H]1O[C@H](OP(O)(O)=O)[C@H](O)[C@@H](O)[C@H]1O,1.000 ,-5.528271675
4,88.80 ,OC[C@H]1OC(CO)(OP(O)(O)=O)[C@@H](O)[C@@H]1O,1.000 ,-5.010338783
4,88.80 ,OC[C@H]1OC(O)(COP(O)(O)=O)[C@@H](O)[C@@H]1O,1.000 ,-5.600335598
4,88.80 ,OC[C@H]1OC(O)[C@H](O)[C@@H](OP(O)(O)=O)[C@@H]1O,1.000 ,-5.46895647
4,88.80 ,OC[C@H]1OC(OP(O)(O)=O)[C@@H](O)[C@@H](O)[C@@H]1O,1.000 ,-5.450686932
4,88.80 ,OC[C@H]1OC(OP(O)(O)=O)[C@H](O)[C@@H](O)[C@@H]1O,1.000 ,-5.622484207
4,88.80 ,OC[C@H]1OC(OP(O)(O)=O)[C@H](O)[C@@H](O)[C@H]1O,1.000 ,-5.446043491
4,88.80 ,OC1O[C@H](COP(O)(O)=O)[C@@H](O)[C@H](O)[C@@H]1O,1.000 ,-5.852472305
4,88.80 ,OC1O[C@H](COP(O)(O)=O)[C@@H](O)[C@H](O)[C@H]1O,1.000 ,-5.567351818
4,88.80 ,OC1O[C@H](COP(O)(O)=O)[C@H](O)[C@H](O)[C@H]1O,1.000 ,-5.80109024
4,88.80 ,OC1O[C@H](COP(O)(O)=O)C(O)C(O)C1O,1.000 ,-5.573192596
4,88.80 ,OCC(=O)[C@@H](O)[C@@H](O)[C@H](O)COP(O)(O)=O,1.000 ,-5.673268318
4,88.80 ,O1[C@@H](C(C(C([C@H]1OP(O)(=O)O)O)O)O)CO,1.000 ,-5.499402523
4,88.80 ,OC[C@H]1O[C@H](O)[C@H](O)[C@@H](OP(O)(O)=O)[C@@H]1O,1.000 ,-5.582766533
4,88.80 ,OCC(O)[C@@H](O)[C@H](O)C(=O)COP(O)(O)=O,1.000 ,-5.78561306
4,88.80 ,OCC1(O)O[C@@H](COP(O)(O)=O)[C@@H](O)[C@H]1O,1.000 ,-5.107120037
4,88.80 ,OCC1(O)O[C@H](COP(O)(O)=O)[C@@H](O)[C@@H]1O,1.000 ,-5.470211506
4,88.80 ,OCC1(O)O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]1O,1.000 ,-5.212161064
4,88.80 ,OCC1(O)O[C@H](COP(O)(O)=O)[C@H](O)[C@@H]1O,1.000 ,-5.701918602
4,88.80 ,P(OC[C@@H](O)[C@@H]1O[C@@H](O)[C@H](O)[C@H]1O)(O)(=O)O,1.000 ,-5.197195053
4,88.80 ,P(OC1[C@H](O)[C@@H](O)C(O)[C@H](O)[C@@H]1O)(O)(O)=O,1.000 ,-5.342309952
4,88.80 ,P(OCC(=O)[C@@H](O)[C@@H](O)[C@H](O)CO)(O)(O)=O,1.000 ,-5.621070862
4,88.80 ,P(OCC1O[C@H](O)C(O)C(O)C1O)(O)(O)=O,1.000 ,-5.634034157
4,88.80 ,P(OCC1OC(O)C(O)C(O)C1O)(O)(O)=O,1.000 ,-5.516998291
4,88.80 ,OCC(=O)[C@H](O)[C@H](O)[C@H](O)COP(O)(O)=O,1.000 ,-6.373975754
4,88.80 ,OC[C@@H](O)C(=O)[C@H](O)[C@H](O)COP(O)(O)=O,1.000 ,-6.162409306
4,88.80 ,OCC(=O)[C@H](O)[C@H](O)[C@@H](O)COP(O)(O)=O,1.000 ,-6.13466835
4,88.80 ,[H]C(=O)[C@H](O)[C@H](O)[C@H](O)[C@H](O)COP(O)(O)=O,1.000 ,-6.121665001
4,88.80 ,OCC(=O)[C@@H](O)[C@H](O)[C@H](O)COP(O)(O)=O,1.000 ,-6.074329376
4,88.80 ,O(C[C@]1(O[C@@H]([C@H]([C@@H]1O)O)CO)O)P(O)(=O)O,1.000 ,-6.018161774
4,88.80 ,OC[C@@H]1O[C@H](OP(O)(O)=O)[C@@H](O)[C@H](O)[C@@H]1O,1.000 ,-5.994194984
5,89.06 ,O=C(O)C(N)CC(=O)N,9.129 ,-7.710548401
5,89.06 ,O=C(N)NCCC(=O)O,8.683 ,-7.452365398
5,89.06 ,O=C(O)CNC(=O)CN,8.548 ,-10.28957653
5,89.06 ,O=C(O)CN(C(=N)O)C,8.302 ,-6.302716255
5,89.06 ,O=C(O)CC(N)C(=O)N,8.215 ,-8.073364258
5,89.06 ,O=C(N)NC(C(=O)O)C,8.160 ,-7.471790791
5,89.06 ,O=C(OCN=[N+]([O-])C)C,8.132 ,-3.713048697
5,89.06 ,O=C(N)CCC(=O)NO,8.113 ,-7.829482079
5,89.06 ,O=C(OCC)NC(=O)N,6.531 ,-5.686577797
5,89.06 ,O=NN(C(=O)OCC)C,6.531 ,-2.775647163
5,89.06 ,O=NN(C)COC(=O)C,6.476 ,-3.693628311
5,89.06 ,O=C(OC(=O)CN)CN,6.476 ,-10.14723206
5,89.06 ,O=C(OC)NC(=O)NC,6.531 ,-5.696861267
5,89.06 ,C(C(=O)NCC(=O)[O-])[NH3+],7.679 ,-6.538877487
5,89.06 ,C([C@H](C(=O)[O-])[NH3+])C(=O)N,7.679 ,-6.321763992
5,89.06 ,C([C@@H](C(=O)[O-])[NH3+])C(=O)N,7.679 ,-6.008387089
5,89.06 ,C([C@H](C(=O)N)N)C(=O)O,7.679 ,-8.260076523
5,89.06 ,C([C@@H](C(=O)N)N)C(=O)O,7.679 ,-7.726448536
5,89.06 ,C([C@@H](C(=O)N)NC=O)O,7.679 ,-7.34295702
5,89.06 ,C(C(C(=O)O)N)C(=O)N,7.679 ,-7.710548878
5,89.06 ,C([C@H](C(=O)O)N)C(=O)N,7.679 ,-7.956200123
5,89.06 ,C(CNC(=O)N)C(=O)O,7.679 ,-7.452365398
5,89.06 ,CC(=O)OC/N=[N+](/C)\[O-],7.679 ,-2.856918573
5,89.06 ,CCOC(=O)N(C)N=O,7.679 ,-2.775647163
5,89.06 ,CN(CC(=O)O)C(=O)N,7.679 ,-6.738204002
5,89.06 ,CN(CCC(=O)O)N=O,7.679 ,-5.419180393
6,91.85 ,OC(=O)CNCC(O)=O,1.000 ,-8.285154343
6,91.85 ,N[C@H](CC(O)=O)C(O)=O,1.000 ,-7.161076546
6,91.85 ,NC(CC(O)=O)C(O)=O,1.000 ,-6.969594955
6,91.85 ,N[C@@H](CC(O)=O)C(O)=O,1.000 ,-6.680891514
6,91.85 ,OC(=O)CCNC(O)=O,1.000 ,-6.673060894
7,91.87 ,OC[C@H](O)COP(O)(O)=O,1.000 ,-7.350955486
7,91.87 ,OCC(O)COP(O)(O)=O,1.000 ,-7.286045074
7,91.87 ,OC[C@@H](O)COP(O)(O)=O,1.000 ,-6.878764153
7,91.87 ,OCC(CO)OP(O)(O)=O,1.000 ,-6.267971992
8,92.40 ,O=C(O)C(N)CCC(=O)N,7.654 ,-7.972320557
8,92.40 ,O=C(N)NCC(C(=O)O)C,7.202 ,-6.82079792
8,92.40 ,O=C(O)C1NNCC(O)C1,7.058 ,-8.190587997
8,92.40 ,O=C1N(C)C(O)C(O)N1C,7.050 ,-5.236321449
8,92.40 ,O=C1NCOC(N)C1(O)C,7.032 ,-6.022476196
8,92.40 ,O=C1NCC(O)C(O)CN1,7.020 ,-6.665961266
8,92.40 ,O=C(O)CNC(=O)C(N)C,6.948 ,-8.894639015
8,92.40 ,O=C(O)CCC(N)C(=O)N,6.797 ,-8.537237167
8,92.40 ,O=C(O)C(NC(=O)CN)C,6.730 ,-9.320492744
8,92.40 ,O=C(N)NCCCC(=O)O,6.648 ,-7.534220219
8,92.40 ,O=C(O)C(N)CNC(=O)C,6.597 ,-7.630045891
8,92.40 ,O=C(O)C(N)CC(=O)NC,6.594 ,-7.218711853
8,92.40 ,O=C(O)CC(N)CC(=O)N,6.590 ,-6.724471569
8,92.40 ,O=C(O)CCC(O)=NCN,6.578 ,-8.10960865
8,92.40 ,O=C(O)CN(C(=O)CN)C,6.576 ,-8.628202438
8,92.40 ,O=C(O)CNC(=O)CCN,6.556 ,-10.14457512
8,92.40 ,O=C(OCCC)NC(=O)N,6.097 ,-4.909352303
8,92.40 ,O=C(OC)C(N)CC(=O)N,6.028 ,-6.781835556
8,92.40 ,C(CC(=O)N)[C@@H](C(=O)[O-])[NH3+],6.764 ,-5.264953613
8,92.40 ,C(CC(=O)N)[C@H](C(=O)[O-])[NH3+],6.764 ,-5.535513401
8,92.40 ,C(CC(=O)N)[C@@H](C(=O)O)N,6.764 ,-7.705210686
8,92.40 ,C(CC(=O)N)[C@H](C(=O)O)N,6.764 ,-8.18694973
8,92.40 ,C(CC(=O)O)[C@@H](C(=O)N)N,6.764 ,-8.160583496
8,92.40 ,C(CC(=O)O)[C@H](C(=O)N)N,6.764 ,-8.730529785
8,92.40 ,C(CN)C(=O)NCC(=O)O,6.764 ,-10.14457512
8,92.40 ,C[C@@H](C(=O)NCC(=O)[O-])[NH3+],6.764 ,-5.404621124
8,92.40 ,C[C@H](C(=O)NCC(=O)O)N,6.764 ,-8.971347809
8,92.40 ,C[C@@H](C(=O)NCC(=O)O)N,6.764 ,-8.423957825
8,92.40 ,C[C@H](C(=O)O)N(C)C(=O)N,6.764 ,-6.257740974
8,92.40 ,C[C@@H](C(=O)O)NC(=O)CN,6.764 ,-8.988735199
8,92.40 ,C[C@H](C(=O)O)NC(=O)CN,6.764 ,-9.260540009
8,92.40 ,C[C@@H](C(=O)O)NNC(=O)C,6.764 ,-6.4310112
8,92.40 ,CC(CNC(=O)N)C(=O)O,6.764 ,-6.82079792
8,92.40 ,C[C@H](CNC(=O)N)C(=O)O,6.764 ,-6.86765337
8,92.40 ,CN(CC(=O)[O-])C(=O)C[NH3+],6.764 ,-5.318341255
8,92.40 ,CN(CC(=O)O)C(=O)CN,6.764 ,-8.628203392
8,92.40 ,CN(CCCC(=O)O)N=O,6.764 ,-5.256755829
8,92.40 ,CNC(=O)C[C@@H](C(=O)O)N,6.764 ,-7.00889492
9,94.36 ,C[NH2+]CCCC([O-])=O,1.000 ,-2.839425802
9,94.36 ,CC(C)[C@@H](N)C(O)=O,1.000 ,-5.681181431
9,94.36 ,OC(=O)N(CC)CC,1.000 ,-4.31447649
9,94.36 ,C[N+](C)(C)CC([O-])=O,1.000 ,-2.607619762
9,94.36 ,[NH3+]CCCCC([O-])=O,1.000 ,-2.578880787
9,94.36 ,CCC[C@H]([NH3+])C([O-])=O,1.000 ,-1.866439342
9,94.36 ,CC(C)CC[N+]([O-])=O,1.000 ,-1.674059749
9,94.36 ,CC(C)[C@H]([NH3+])C([O-])=O,1.000 ,-1.667961717
9,94.36 ,CC(C)[C@@H]([NH3+])C([O-])=O,1.000 ,-1.265850067
9,94.36 ,CC(C)CCON=O,1.000 ,6.170851707
9,94.36 ,CCCCCON=O,1.000 ,9.538888931
9,94.36 ,CNCCCC(O)=O,1.000 ,-9.629094124
9,94.36 ,C(CCN(C)C)(=O)O,1.000 ,-9.334217072
9,94.36 ,C[C@H](N(C)C)C(O)=O,1.000 ,-8.918718338
9,94.36 ,[N+]1(CCOCC1)(C)[O-],1.000 ,-8.804088593
9,94.36 ,NCCCCC(O)=O,1.000 ,-8.549093246
9,94.36 ,COC(=O)CCCN,1.000 ,-8.251259804
9,94.36 ,OC(=O)CC[C@H](N)C,1.000 ,-8.181763649
9,94.36 ,OC(=O)CCC(N)C,1.000 ,-8.091941833
9,94.36 ,OC(=O)CC[C@@H](N)C,1.000 ,-7.853609562
9,94.36 ,OC(=O)C(NC)(C)C,1.000 ,-7.767566681
9,94.36 ,CC(CC(=O)O)CN,1.000 ,-7.745246887
9,94.36 ,CCCC(N)C(O)=O,1.000 ,-6.722686768
9,94.36 ,CC(C)[C@H](N)C(O)=O,1.000 ,-6.446370125
9,94.36 ,OC(=O)CC(N)CC,1.000 ,-6.431938171
9,94.36 ,C([C@@H](N)CCC)(=O)O,1.000 ,-6.286014557
9,94.36 ,CCC[C@@H](N)C(O)=O,1.000 ,-6.286014557
9,94.36 ,CC(C)C(N)C(O)=O,1.000 ,-6.147767067
10,94.85 ,C1(C(C(OC(C1O)OC2C(C(C(OC2C(=O)O)O)O)O)C(=O)O)O)O,1.000 ,-4.822472095
10,94.85 ,O(C1C(O)C(O)C(OC1C(O)=O)O)C2OC(C(O)C(O)C2O)C(O)=O,1.000 ,-4.822472572
10,94.85 ,O[C@@H]1O[C@@H]([C@@H](O)[C@H](O)[C@H]1O[C@@H]1O[C@@H]([C@@H](O)[C@H](O)[C@H]1O)C(O)=O)C(O)=O,1.000 ,-4.688580513
10,94.85 ,O[C@H]1O[C@@H]([C@H](O[C@H]2O[C@@H]([C@H](O)[C@H](O)[C@H]2O)C(O)=O)[C@H](O)[C@H]1O)C(O)=O,1.000 ,-5.098194122
10,94.85 ,O1[C@H](O[C@H]([C@H](O)[C@@H](O)C=O)[C@H](O)C(O)=O)[C@H](O)[C@@H](O)[C@@H](O)[C@H]1C(O)=O,1.000 ,-5.080357552
10,94.85 ,[C@@H]1(O[C@@H]([C@@H]([C@@H]([C@H]1O)O)O)C(=O)O)O[C@H]2[C@H](OC([C@@H]([C@H]2O)O)O)C(=O)O,1.000 ,-4.753768921
11,98.21 ,O=P(O)(O)OCC(O)C(O)(C)CO,4.192 ,-6.464906216
11,98.21 ,O=P(O)(O)OCC(O)C(O)CCO,3.866 ,-6.909914017
11,98.21 ,O=P(O)(O)OCC(O)C(O)C(O)C,3.866 ,-6.102478981
11,98.21 ,O=C1NC(=S)NC(=S)C1(CC)CC,3.299 ,-3.383299351
12,100.49 ,C\C(C(O)=O)=C(/C)C(O)=O,1.000 ,-4.516781807
12,100.49 ,C\C(CC(O)=O)=C/C(O)=O,1.000 ,-4.481132984
12,100.49 ,C=1[C@H](OCC(C1O)=O)CO,1.000 ,-5.931560993
12,100.49 ,CC(=C(C)C(=O)[O-])C(=O)[O-],1.000 ,-2.969130993
12,100.49 ,CC(=O)CC(=O)CC(O)=O,1.000 ,-5.179256439
12,100.49 ,CC(C(O)=O)C(=C)C(O)=O,1.000 ,-5.457440376
12,100.49 ,CC(CCC([O-])=O)C([O-])=O,1.000 ,-3.729473591
12,100.49 ,O(CC)C(=O)/C=C\C(O)=O,1.000 ,-3.213314056
12,100.49 ,O1C(C(OC(C1=O)C)=O)C,1.000 ,-3.459576368
12,100.49 ,O1C(CCC1=O)CC(O)=O,1.000 ,-5.107336044
12,100.49 ,O1CC(O)C(OC)=CC1=O,1.000 ,-4.407431602
12,100.49 ,OC(=O)C(CC=C)C(O)=O,1.000 ,-4.236512184
12,100.49 ,OC(=O)C/C=C(\C)/C(O)=O,1.000 ,-5.074379921
12,100.49 ,OC(=O)C1(CCC1)C(O)=O,1.000 ,-3.858329773
12,100.49 ,OC(=O)CC(C)=C(C(O)=O)[H],1.000 ,-5.258244038
12,100.49 ,OC(=O)CC\C=C\C(O)=O,1.000 ,-5.232663155
12,100.49 ,OC(=O)CCC(=C)C(O)=O,1.000 ,-5.722865105
12,100.49 ,OC[C@@H]1CC(=O)C(O)=CO1,1.000 ,-5.494878769
12,100.49 ,[O-]C(=O)CCCCC([O-])=O,1.000 ,-3.879139185
12,100.49 ,COC(=O)\C=C/C(=O)OC,1.000 ,-2.506832838
12,100.49 ,OCC(CO/C=C\*)OC(=O)*,1.000 ,-2.044781685
12,100.49 ,COC(=O)\C=C\C(=O)OC,1.000 ,-1.518887639
12,100.49 ,OC(=O)CC=CCC(O)=O,1.000 ,-7.624205112
12,100.49 ,OC(=O)C\C=C\CC(O)=O,1.000 ,-6.804519653
12,100.49 ,[H]C(CCC(O)=O)=CC(O)=O,1.000 ,-6.210255146
12,100.49 ,OCC1(O)OCC=CC1=O,1.000 ,-6.060474396
13,100.58 ,[H]C(C=C)=C(O)C(O)=O,1.000 ,-4.831852436
13,100.58 ,C=1C(O[C@@H](C1O)C)=O,1.000 ,-3.615902901
13,100.58 ,CC(=O)\C=C/C(O)=O,1.000 ,-5.541625977
13,100.58 ,CC1=C(O)C(=O)CO1,1.000 ,-4.514480114
13,100.58 ,CC1CC(=O)OC1=O,1.000 ,-4.106420517
13,100.58 ,O[C@H]1COC(=O)C1=C,1.000 ,-4.505052567
13,100.58 ,O=C1CCCC(=O)O1,1.000 ,-4.163527966
13,100.58 ,O1C(CO)C=CC1=O,1.000 ,-5.633748531
13,100.58 ,OC(=O)C(\O)=C/C=C,1.000 ,-3.695888519
13,100.58 ,OC(=O)C(\O)=C\C=C,1.000 ,-4.039858818
13,100.58 ,OC(=O)C(=O)CC=C,1.000 ,-4.265104294
13,100.58 ,C(O)(=O)CC(C=C)=O,1.000 ,-5.896357059
14,101.07 ,[H]C(=O)C(=O)OCC,1.000 ,-3.125990868
14,101.07 ,C[C@@H](C=O)C(O)=O,1.000 ,-4.755708218
14,101.07 ,CC(=O)OC(C)=O,1.000 ,-4.035243511
14,101.07 ,CC(C=O)C(O)=O,1.000 ,-5.462879181
14,101.07 ,CC(O)=CC(O)=O,1.000 ,-5.563469887
14,101.07 ,CCC(=O)C(O)=O,1.000 ,-4.618490219
14,101.07 ,COC(=O)C(C)=O,1.000 ,-3.933706284
14,101.07 ,OC(=CC)C(O)=O,1.000 ,-5.583863735
14,101.07 ,OC/C=C/C(O)=O,1.000 ,-5.684610367
14,101.07 ,OCC=CC(=O)O,1.000 ,-7.089781284
14,101.07 ,CC(=O)CC(O)=O,1.000 ,-6.897089958
14,101.07 ,OCCC(C(=O)[H])=O,1.000 ,-6.708222389
14,101.07 ,OC(CC(O)=O)=C,1.000 ,-6.193252563
14,101.07 ,[H]C(=O)CCC(O)=O,1.000 ,-6.039560318
15,103.20 ,O=C1C2=CC(OC)=CC(O)=C2C(=O)C3=C1C(O)C(O)(C)C(OC(=O)C)C3O,6.900 ,-2.373188019
15,103.20 ,O=C1C=C(OC)C(=O)C=2C(O)=C3C(=C(O)C12)C(O)C(OC(=O)C)C(O)(C)C3,6.853 ,-1.996479273
15,103.20 ,O=C1C(OC)=C(OC2=C(O)C(OC)=CC(O)=C12)C3(O)C=CC(=O)C(OC)C3,6.812 ,-2.753536701
15,103.20 ,O=C1C(OC)=C(OC=2C=C(OC)C(OC)=C(O)C12)C3(O)C=C(O)C(=O)CC3,6.809 ,-2.483376503
15,103.20 ,O=C1C(OC)=C(OC2=CC(OC)=C(OC)C(O)=C12)C3(O)C=CC(=O)C(O)C3,6.809 ,-2.801972628
15,103.20 ,O=C1C(OC)=C(OC2=C(O)C(OC)=CC(O)=C12)C3(O)C=C(OC)C(=O)CC3,6.807 ,-2.523363113
15,103.20 ,O=C(OC1CC(O)(C(=O)O)CC(O)C1O)C=CC2=CC=3OC=CC3C=C2O,6.797 ,-3.81237936
15,103.20 ,O=C(OC1CC(O)(C(=O)O)CC(O)C1O)C=CC=2C=C(O)C=3C=COC3C2,6.743 ,-3.378453732
