System,SMILES,RT,pubchem
dataset_82,COC1=NC=C(C=C1)C(=O)N2CCC(CC2)NC3=NC=NC4=C3CCC4,75.9,71836282
dataset_82,C1=CC(=CN=C1)NC2=NC(=CS2)C(=O)NCC(=O)N,76,52907459
dataset_82,CCN1CCC2(CC1)C(=C(C(=O)O2)C)C(=O)NCCCN(CC)CC3=CC=CC=C3,76.1,20906688
dataset_82,CN1CCN(CC1)CCNC(=O)C2CCN(CC2)C3=NN=C(C=C3)N4CCCCC4,76.3,53026721
dataset_82,CCN1CCN(CC1)CCNC(=O)C2CCN(CC2)C3=NN=C(C=C3)N4CCCC4,76.3,53062276
dataset_82,CN1C2=C(CCN(C2)C(=O)C3=CC=CC=C3OC)N=C1CNC(=O)C4CCC4,76.3,53191036
dataset_82,C1COCCN1C2=NC(=NC3=NNN=C32)NCCCN4C=CN=C4,76.3,56724469
dataset_82,C1=CN=C(N=C1)C(=O)NCCCN2C=CN=C2,76.4,52992818
dataset_82,CCC1=NN=CN1C2CCNCC2,76.5,83282897
dataset_82,C[C@H](C(=O)NC(CO)C(C(C=O)N)O)N,76.6,5458562
dataset_82,C1CN(CCN1CCN2C=CC=N2)C(=O)C3=CC=C(C=C3)CN4C=CN=C4,76.9,56724373
dataset_82,CN(C)C(=O)C1=CN(N=N1)CCC2CCCCN2C(=O)C3=CC=C(O3)CN4C=CN=C4,76.9,124053555
dataset_82,CN1C[C@H]([C@@H](C1)NC(=O)C2=CN=NC=C2)CN(C)C,77.1,91923156
dataset_82,CC1=CN=C(N1C(C)C)CCNS(=O)(=O)C2=CC=CC3=NSN=C32,77.1,124053188
dataset_82,CN1C2=CC=CC=C2N=C1CN3CCN(CC3)CC(=O)NC4=CC5=C(C=C4)OCCO5,77.2,44087788
dataset_82,C1CCN(CC1)CCC2CCCCN2C(=O)CN3C=CN=C3,77.2,53193458
dataset_82,C1C(C(C(C(N1)CO)O)O)O,77.3,1374
dataset_82,CN1C2CC(C1CC(=O)C2)O,77.3,110737
dataset_82,C1=CC(=O)NC=C1C(=O)NCC(=O)NC2=CC=NC=C2,77.3,49670783
dataset_82,CC1=NC=CN1C2=NN(C(=O)C=C2)CCNS(=O)(=O)C,77.3,71790923
dataset_82,CC1=CN=C(N1CC2CC2)CCNC(=O)C3=CC=CS3,77.6,91923952
dataset_82,CC1=CC=C(S1)C(=O)NCCC2=NC=C(N2C3CC3)C,77.6,124052852
dataset_82,CC(C)CN1CCN(CC1)C(=O)C2CCC3=C(C2)C=C(S3)C(=O)N4CCOCC4,77.7,71836387
dataset_82,C1CN(CCC1N(CC2=CN=CC=C2)C3CCOCC3)CC4=CN=CC=C4,77.8,91916158
dataset_82,CC1=NN(C(=C1)CN2C[C@H]([C@@H](C2)C(=O)N)COC)C,77.8,124052156
dataset_82,CC1=CN=C(N1C2CC2)CCNC(=O)C3=COC=C3,77.8,124052851
dataset_82,C1COCCN1CCCNC2=NC=NC3=C2C=NN3,78,30858850
dataset_82,CC1CCN(CC1)CCCNC(=O)C2=C(C3=C(N=CN=C3S2)N4CCN(CC4)C)C,78,46344652
dataset_82,CC1=C(SC2=NC=NC(=C12)N3CCN(CC3)C)C(=O)NCCCN4CCCCCC4,78,46344747
dataset_82,C1CC2=C(C1)N=CN=C2NCC3=CN=CC=C3,78,53192844
dataset_82,C1C2CN=NC2(CN1)C#N,78.1,386770
dataset_82,CC(=O)NC1=CC=C(C=C1)S(=O)(=O)NCCCN2CCOCC2,78.1,2144799
dataset_82,CC1=CN=C(N1C2CCCC2)CCNC(=O)C3=C(N=C(S3)C)C,78.1,124078532
dataset_82,CCN1C=CN=C1N2CCN(CC2)C(=O)COCC,78.2,25284873
dataset_82,CCN1CCC(CC1)CCNC(=O)C2CCC3=C(C2)SC(=N3)N4CCN(CC4)C(=O)C,78.2,53188186
dataset_82,CC1=CN=C(N1C2CCNC2)C3=CN=CC=C3,78.2,90488116
dataset_82,C1CCCN(CC1)CC(=O)NC2=CC=C(C=C2)S(=O)(=O)NC3=NC=CS3,78.3,16432976
dataset_82,CC1=CN=C(N1CCN)C2=CC=NC=C2,78.3,91911586
dataset_82,CC(C)(C)N1CCC1CN,78.4,282395
dataset_82,C1CN(CCC1C(C2=CC=CC=N2)O)CC3=CC=CS3,78.4,53193339
dataset_82,C[C@H](CC1=CN=CN1)N,78.5,156615
dataset_82,CCN1CCC(CC1)CCNC(=O)C2CCC3=C(C2)C=C(S3)C(=O)N4CCOCC4,78.5,53187896
dataset_82,CN1C[C@H]([C@@H](C1)NC(=O)C2=NC=NC=C2)CN(C)C,78.5,91923158
dataset_82,COC1=CC(=C(C=C1)NC(=O)CN2CCC(CC2)C(=O)NCC3=CN=CC=C3)OC,78.6,16802410
dataset_82,CCOC(=O)C1CCN(CC1)C(=O)C2=C(N(C(=N2)C)C3CCN(CC3)C)C,78.6,53181592
dataset_82,COCCC1=NC(=NN1)C2CCCN(C2)CC3=CC(=CC=C3)C#N,78.6,53192094
dataset_82,CC(=O)NC1=CC=C(C=C1)N2C(=O)CC(C2=O)N3CCC(CC3)C(=O)N,78.8,3148470
dataset_82,C1CN(CCC1C2=NC3=CC=CC=C3N2)C/C=C/C4=CC=CC=C4,78.8,16798064
dataset_82,CC1=NC(=NC=C1)OCC(=O)NCCCN2C=CN=C2,78.8,52992822
dataset_82,C1=CC=C(C=C1)C2=CN(C3=NC=NC(=C23)NCCOCCO)C4=CC=CC=C4,78.9,3323036
dataset_82,CS(=O)(=O)NCC(C1=CN=CC=C1)N2CCN(CC2)CC3=CC=CC=C3,78.9,6624005
dataset_82,CC1=NN=C(C=C1)N2CCN(CC2)C(=O)C3=NC=CC=N3,78.9,52417003
dataset_82,CC1=CN=C(N1C2CNC2)C3=CC=CC=C3,78.9,91911384
dataset_82,CCC(=O)N1CCN(CC1)C2CCN(C2=O)CCN(C)C,78.9,91925809
dataset_82,C1[C@H]([C@H]([C@@H]([C@H](N1)CO)O)O)O,79,72258
dataset_82,CN1C=CC=C1C(CNC(=O)C(=O)NC2CC2)N(C)C,79,44059555
dataset_82,COC1=C(C=C(C=C1)NC(=O)CN2CCC(CC2)C(=O)NCCN3C(=O)C=CC=N3)OC,79,45497715
dataset_82,CS(=O)(=O)N1CCC(CC1)C(=O)N2CCN(CC2)CCN3C=CC=N3,79,52907357
dataset_82,CC1=NN(C=C1CN2CCCC(C2)C3=NN=CN3C4=CC=CC=C4)C,79,53192775
dataset_82,C1C(N(C(=O)CO1)CC2=CC=CC=C2)C(=O)NCCCN3C=CN=C3,79,56765965
dataset_82,CCCCNC(=O)N1CCN(CC1)CCO,79.1,6457939
dataset_82,CC1=NN2CCC(=O)N(C2=C1)CCCC(=O)NCCCN3CCC(CC3)N4CCCCC4,79.1,20928974
dataset_82,C1CCC(C1)N2CCC(CC2)CNC(=O)C(=O)NC3=CN=CC=C3,79.1,49751130
dataset_82,CN1C=C(N=N1)C(=O)NCC2=NC3=CC=CC=C3N2,79.3,45497181
dataset_82,CNCC(=O)NC1(CCCC1)C(=O)OC,79.3,52903799
dataset_82,CC1=C(N=C(N1C2CCN(CC2)C)C)C(=O)NCCN(C)C,79.3,53181556
dataset_82,CC1=CN=C(S1)NC(=O)C2CCNCC2,79.4,18072746
dataset_82,C1CN(CCN1)C2=NN=C(C=C2)C3=CN=CC=C3,79.4,33676346
dataset_82,COC1=CC=CC=C1N2CCN(CC2)CCNC(=O)C(=O)NC3=CN=CC=C3,79.4,49752623
dataset_82,C1CCN(C1)CC#CCNC(=O)C2=CC=C(C=C2)C#N,79.4,71792575
dataset_82,CC1=CN=C(N1CCN)C2=CC=CC=C2,79.4,91911585
dataset_82,CC1=NOC(=N1)C2CN(C2)CC(=O)NC3CC3,79.5,49745092
dataset_82,CN1C2=C(CNCC2)C(=N1)CN3CCOCC3,79.6,53019666
dataset_82,CC1=CC(=NC=N1)N2CCN(CC2)C(=O)NC3=CC4=C(C=C3)OCCO4,79.6,71795115
dataset_82,CCN1CCC2=C(CC1)OC(=N2)N,79.7,2277
dataset_82,COC1=CC=C(C=C1)NC(=O)CSC2=NCCN2,79.7,729797
dataset_82,CCN1CCN(CC1)C2=NC3=C(C=C(C=C3)NC(=S)NCCCN4CCOCC4)C(=C2)C,79.7,3379232
dataset_82,C1CN(CCN1C2=CC=CC=N2)C(=O)CCC3=NN=C4N3N=C(C=C4)NCC5=CN=CC=C5,79.7,20957167
dataset_82,CC1=C(SN=N1)C(=O)NCCN2CCN(CC2)C(=O)OC,79.7,49677082
dataset_82,CN1CCN(CC1)C2=NC=NC=C2N3CCC(CC3)C(=O)N4CCN(CC4)C,79.8,53165867
dataset_82,CCCN1CCN(CC1)CC2=NN3C(=CC(=NC3=N2)C)N4CCN(CC4)CC,79.8,53202412
dataset_82,CN1C2=CC(=C(C=C2C(=C1CN(C)C)C(=O)N(C)C)O)C3=CN=CC=C3,79.8,71695232
dataset_82,C[C@](CCP(=O)(O)O)(C(=O)O)N,79.9,1795545
dataset_82,CC1=NOC(=N1)C2CN(C2)CC(=O)NCC3CCCO3,79.9,49745066
dataset_82,C1CC(OC1)CNC(=O)CN2CC(C2)C3=NC(=NO3)C4=NC=CC=N4,79.9,49745578
dataset_82,CCN1C=CN=C(C1=O)N2CCN(CC2)C,79.9,53015084
dataset_82,CCN1CCN(CC1)C2=CC(=NC3=NC(=NN23)CN4CCN(CC4)C5CCCCC5)C,79.9,53202416
dataset_82,CN(C)CC(=O)NC1CCC2=NN=C(N2CC1)C3CC3,79.9,124044767
dataset_82,CC(C)CN1CCC(CC1)C2C3=NC=CN3CCCN2C(=O)CCO,79.9,124052533
dataset_82,CCC(CO)NCCNC(CC)CO,80,3279
dataset_82,C1=CC=C2C(=C1)N=CN2CC(=O)NCCNC3=NN=C(C=C3)NC4=CN=CC=C4,80,49669421
dataset_82,CCN1C=NN=C1C2CCCN(C2)CC3=CC=C(C=C3)C,80,53192660
dataset_82,CC(C)N1C=NN=C1C2CCN(CC2)CC3=COC=C3,80.1,53192568
dataset_82,CC(C)C(=O)NCC#CCN1CCCC1,80.1,71792541
dataset_82,CCC(=O)N1CCN(CC1)C2CCN(C2=O)C,80.1,91925816
dataset_82,CN1CC(C(C(C1CO)O)O)O,80.2,4381
dataset_82,CCC(=O)NC1=NC2=CC=CC=C2N1CCCN(C)C,80.2,745084
dataset_82,CCN1CCN(CC1)CCCNC(=O)C2=C(C3=C(N=CN=C3S2)N4CCN(CC4)C)C,80.2,46344655
dataset_82,CC1=C(C2=C(S1)C=C(N2)C(=O)NCC3=CN=CC=C3)CN4CCCCC4,80.2,53139644
dataset_82,COC(=O)CCC(=O)CN,80.3,157922
dataset_82,CC1=NC2=CC=CC=C2C(=C1)NC(=O)C(=O)NCC3CCN(CC3)CC4=CC=CS4,80.3,16887390
dataset_82,COC1=C(C=C2C(=C1)C=CN=C2CCCN)OC,80.3,33679080
dataset_82,C1CC1NC2=CC(=NC=N2)N3CCC(CC3)CCC(=O)NCCN4CCOCC4,80.3,53188812
dataset_82,CN(C)C1=NN=C(C=C1)N2CCN(CC2)C(=O)C3=CC=C(C=C3)S(=O)(=O)N,80.4,56723954
dataset_82,CC1=NC=CN1C2=NN=C(C=C2)N3CCN(CC3)S(=O)(=O)C4CC4,80.4,71791247
dataset_82,C1CCC(C1)N2CCC(CC2)CNC(=O)C(=O)NCCN3CCOCC3,80.5,16886765
dataset_82,CCOC(=O)C(=O)NCCN1CCN(CC1)S(=O)(=O)C,80.5,45505510
dataset_82,CCCN1CCN(CC1)C2=NN=C(S2)N3C=CC=C3CN4CCN(CC4)C5=CC=CC=N5,80.5,46281757
dataset_82,C1CC(OC1)C(=O)N2CCN(CC2)C3=NN=C(C=C3)NC4=CN=CC=C4,80.5,49675587
dataset_82,CC(C1=CC=C(C=C1)C2=CC=C(O2)CNCC3CCNCC3)O,80.6,16069834
dataset_82,COC1=CC=C(C=C1)S(=O)(=O)CCN,80.6,16644604
dataset_82,COC1=CC=C(C=C1)C2CCCN2CCN,80.6,44116797
dataset_82,COC(=O)N1CCN(CC1)CCNC(=O)C2=CC=C(O2)[N+](=O)[O-],80.6,49677081
dataset_82,C1CNC(C2=C1NC=N2)C3=CC=CC=C3,80.7,256467
dataset_82,C=CCOCC(CN1CCN(CC1)CCO)O,80.7,18593532
dataset_82,CC1CCCC(N1CCCNC(=O)C2=C(C(=O)OC23CCN(CC3)C(=O)C)C)C,80.7,20906752
dataset_82,CN(CC(=O)NCC#CCN1CCC2=CC=CC=C2C1)S(=O)(=O)C,80.7,71792814
dataset_82,CCN1CCCN2C=CN=C2C1C3CCN(CC3)CC4=CN=CC=C4,80.7,124052498
dataset_82,CC1=NC=CN1CCNC(=O)CCS(=O)(=O)C2=CC=CC=C2,80.8,49738526
dataset_82,CCN(CC)CCNC(=O)C1=CSC(=N1)C2=CC=NC=C2,80.8,53100687
dataset_82,C1CCN(CC1)C2=NC=NC=C2N3CCC(CC3)C(=O)NCCCN4CCOCC4,80.8,53165691
dataset_82,C1CCN(CC1)CCCNC(=O)C2CCN(CC2)C3=CN=CN=C3N4CCOCC4,80.8,53165847
dataset_82,CCN(CC)CCCNCC1CCOC(C1)(C)C,80.9,23612493
dataset_82,CCOC(=O)N1CCN(CC1)C(=O)CN2CCC(CC2)CN3C=NC4=CC=CC=C43,80.9,45503396
dataset_82,C1CNCCC12C(=O)NC3=CC=CC=C3N2,80.9,45791234
dataset_82,CC1=CN2C(=CSC2=N1)CCC(=O)NCC3=CC=CO3,80.9,49669430
dataset_82,CCN(CC)CCN1C2=CC=CC=C2N=C1NC(=O)C,81,799610
dataset_82,COC1=CC=CC=C1N2CCN(CC2)CC(=O)N,81,5062160
dataset_82,C1CCC(C1)N2CCC(CC2)CNC(=O)C3CC3,81,16895623
dataset_82,C1CCC2=NC3=C(N2CC1)C=CC(=C3)C(=O)NCCN4CCCCC4,81,22579568
dataset_82,C1CC(=O)NC1C(=O)NC2=NC(=CS2)CC(=O)NCC3=CN=CC=C3,81,44048828
dataset_82,CN(C)C(CNC(=O)CN1C(=O)CCC1=O)C2=CC=CS2,81,45565049
dataset_82,CCOCC(=O)NCCN1CCN(CC1)S(=O)(=O)C,81,52417108
dataset_82,CC1CCN(CC1)CCCNC(=O)CC2CCN(CC2)C3=NC(=NC=C3)NC,81,53189375
dataset_82,C1CCN(CC1)CCCNC(=O)C2=CC3=C(C=C2)N=CN=C3N4CCCC4,81,71842464
dataset_82,CC1=C(C2=C(O1)CCN(C2)C)C(=O)NCCCN3C=CC=N3,81,91925124
dataset_82,CC(=NCC1=CC=CC(=C1)CN)N,81.1,1433
dataset_82,CN1C(=O)C2(CCN(CC2)CC(=O)N3CCCC4=CC=CC=C43)NC1=O,81.1,16896730
dataset_82,CCN1CCN(CC1)C2=NC3=C(C=C(C=C3)NC(=S)NCCCN4CCC(CC4)C)C(=C2)C,81.1,46247970
dataset_82,C1CCC(C1)N2CCC(CC2)CNC(=O)C(=O)NC3=NOC=C3,81.2,16886762
dataset_82,CN(C)C(CNC(=O)C(=O)NC1=NC=CS1)C2=CC=CO2,81.2,18589126
dataset_82,CCCN1CCN(CC1)C2=C3C(=C(SC3=NC=N2)C(=O)NCCN(C)C)C,81.2,46344811
dataset_82,CCN(CC)CCNC(=O)C1CCN(CC1)C2=NN=C3N2C=CC=C3,81.2,53203040
dataset_82,CCN1CCC2=NN=C(N2CC1)C3CCN(C3)CCC4=CC=CC=C4,81.2,124052601
dataset_82,CCN1CCC(C1)C2=NN=C3N2CCN(CC3)CCC4=CC=CC=C4,81.2,132335132
dataset_82,C1CN(CCC1CN2C=NC3=CC=CC=C32)CC(=O)NCC4=CC=CO4,81.3,45503408
dataset_82,C1CN(CCN1C2=CC=CC=N2)C(=O)C3=CC=C(C=C3)CN4C=NC=N4,81.3,46394824
dataset_82,CC1=CN2C(=CSC2=N1)CCC(=O)NCCCOC,81.3,49669427
dataset_82,CC(C)(C)C(=O)NCCN1CCN(CC1)C(=O)OC,81.3,49670681
dataset_82,CN(C)C[C@@H]1CN(C[C@H]1NC(=O)NCC2=CC=CO2)CC3=CC=CC=C3,81.3,91922839
dataset_82,CCS(=O)(=O)N1CCC2(CC1)CC(CCO2)N3CCN(CC3)C4=CC=CC=C4,81.3,124053661
dataset_82,COC1=C(C=C(C=C1)C2(CCOCC2)CN)OC,81.4,793321
dataset_82,CN(C)CC(=O)N1C2=CC=CC=C2CCC3=C1C=C(C=C3)N,81.4,2834210
dataset_82,CC1CCCCN1CCCNC(=O)CC(C(=O)N2CCC3=CC=CC=C32)N4C=CN=C4,81.4,3601777
dataset_82,CCNC(=O)NC1=CC2=C(C=C1)N=C(C=C2C)N3CCN(CC3)C,81.4,45503535
dataset_82,C1CC(=O)N(C(=O)C1)CCS(=O)(=O)NCC2CCN(CC2)CC3=CC=CS3,81.4,45559288
dataset_82,C1=CC(=CC(=C1)OC2=NC=CC=N2)C(=O)NCCCN3C=CN=C3,81.4,52992825
dataset_82,CC1=CC(=NC2=C1C(=NC(=N2)C(=O)NCCN3CCOCC3)N(C)C)C,81.4,53168126
dataset_82,C1CCN(CC1)CCNC(=O)C2=CC3=C(C=C2)N=CN=C3N4CCCC4,81.4,71842460
dataset_82,CC1=C(C(=NO1)C)CN2CCC(CC2)NC(=O)C3=CN=CC=C3,81.4,75527483
dataset_82,CC1=CN=C(N1CCNC(=O)C2CCN2C3CCCCC3)C4CC4,81.4,124048735
dataset_82,CC(C)N1C(C2(C1=O)CCCCC2)C(=O)NCCCN3CCN(CC3)C,81.4,124053908
dataset_82,CCN1CCN(CC1)C(=S)NC2=CC3=C(C=C2)N=C(C=C3C)N4CCN(CC4)C,81.5,4177485
dataset_82,CCN(CCN(C)C)C(=O)C1=CC(=C(C=C1)N2CCNCC2)NS(=O)(=O)C,81.5,46333264
dataset_82,CC1=C(N=C(N1C2CCN(CC2)C)C)C(=O)NCC3=CC4=C(C=C3)OCO4,81.5,53181539
dataset_82,CC(C)N(CC#CCNC(=O)C(C)(C)C)C(C)C,81.5,71792469
dataset_82,CC(C)N1C(C2(C1=O)CCCC2)C(=O)N3CCN(CC3)C4CCCCC4,81.5,124053877
dataset_82,CC(C)N1C(C2(C1=O)CCCC2)C(=O)N3CCC(CC3)N4CCCCC4,81.5,124053888
dataset_82,CCC1=NC2=CC=CC=C2N1CC(=O)NC3CC3,81.6,17028573
dataset_82,CC1=NC=CN1CCNC(=O)C2COC3=CC=CC=C3O2,81.6,49620936
dataset_82,CN(C)C(=O)C1=CN(N=N1)CCC2CCCCN2,81.6,91911888
dataset_82,CC1=CN=C(N1C2CCC2)CCNC(=O)C3=CC=CS3,81.6,124078521
dataset_82,C1CC1NC(=O)NCC2CCN(CC2)CC3=CC=CO3,81.7,45497256
dataset_82,CC1=CC=CC=C1CN2C=C(C=C2C(=O)N3CCN(CC3)C(C)C)C4=CC=NC=C4,81.7,53159781
dataset_82,C1CC(=O)N(C(=O)C1)CCS(=O)(=O)NCC#CCN2CCC3=CC=CC=C3C2,81.7,71792844
dataset_82,CC(=O)N1CCC(CC1)N2CCC(CC2)[C@@H]3CNC[C@H]3CO,81.7,91921219
dataset_82,CO[C@H]1CN([C@H]1C2=CC=NC=C2)C3CCN(CC3)C4CCN(CC4)CC5=CC=CC=C5,81.7,124048625
dataset_82,CC1=NC2=C(C=C1)C(=CC=C2)NC(=O)C3CC3,81.8,652673
dataset_82,CCCCC(=O)NCCN1CCN(CC1)C(=O)OC,81.8,49670678
dataset_82,CN1CCN(CC1)NC(=O)CN2CCN(C2=O)C3=CC4=C(C=C3)OCCO4,81.8,49711046
dataset_82,CC1CCCCN1CCNC(=O)C2CCN(CC2)C3=CN=CN=C3N4CCN(CC4)C,81.8,53165909
dataset_82,CCNC1=CC(=NC=N1)N2CCC(CC2)CCC(=O)NCCC3=CC=CC=N3,81.8,53188781
dataset_82,CC1=CC=CC2=NC(=CN12)CSC3=NN=CN3C4=CC=CC=C4,81.9,658735
dataset_82,CC1CCN(CC1)CC(=O)NC2=CC=CC=C2C#N,81.9,2655002
dataset_82,CCCN1CCN(CC1)CCCNC(=S)NC2=CC3=C(C=C2)N=C(C=C3C)N4CCN(CC4)CC,81.9,16193139
dataset_82,CC1=NOC(=C1)C2CCCN2CC3=CC(=C(C=C3)OC)O,81.9,53096264
dataset_82,CC(C)N(CC#CCNC(=O)C1=CC(=CC=C1)N(C)C)C(C)C,81.9,71792505
dataset_82,CC1=CN=C(C=N1)C(=O)N[C@@H]2CCC[C@@H]2C(=O)NCCN3CCOCC3,81.9,91925580
dataset_82,CCOC(=O)C1=C(C2=CC=CC=C2N=C1)NCCCN(C)C,82,1561336
dataset_82,COC1=CC=CC(=C1)NC2=NC(=NC(=N2)N)CN3CCC(CC3)C(=O)N,82,8037437
dataset_82,CC1CCCCN1CCCNC(=O)C2=C(C(=O)OC23CCN(CC3)C(=O)C)C,82,20906723
dataset_82,CC1=NC=CN1CCNC(=O)C2=NC=CN=C2,82,49621052
dataset_82,C1CC1NC2=CC(=NC=N2)N3CCC(CC3)CCC(=O)N4CCN(CC4)CCC#N,82,53188644
dataset_82,CN(C)[C@@H]1CN(CC[C@@]1(C2=CC=CC=C2)O)C(=O)C3=CC=CS3,82,87053321
dataset_82,CC(=O)N1CCC(CC1)C2C3=NC=CN3CCCN2C(=O)C,82,124052516
dataset_82,C[C@H]1CC[C@@H]2[C@H](C1)NCCN2,82.1,231576
dataset_82,CC1=CC(=NC2=C1C=C(C=C2)NC(=S)N3CCN(CC3)C4=CC=CC=N4)N5CCN(CC5)C,82.1,16193161
dataset_82,CN1CCN(CC1)C(=O)C2=NN(C(=C2)C3=CC=CS3)CC(=O)NC4=NCCS4,82.1,30865767
dataset_82,CN(CCCNC(=O)C1CCN(CC1)C2=NN=C(C=C2)N3CCOCC3)C4CCCCC4,82.1,50771884
dataset_82,CC1=CSC(=C1)C(=O)NCCN2CCN(CC2)S(=O)(=O)C,82.1,52417109
dataset_82,CN1C=C(C2=C1N=CC=C2)CC(=O)NCCCN3CCOCC3,82.1,53144364
dataset_82,C1CC(CN(C1)CC2=CC=CS2)C3=NC(=NN3)C4=CN=CC=C4,82.1,53192083
dataset_82,C1COC(N1C(=O)C2=CC3=C(C=C2)OCO3)CNC(=O)C(=O)NCCCN4C=CN=C4,82.2,16801235
dataset_82,COC1=CC(=CC(=C1OC)OC)C(=O)NCCNC2=NN=C(C=C2)NC3=CC=NC=C3,82.2,42111929
dataset_82,CC1CCCN(C1)CC2CCN(CC2)S(=O)(=O)C3=CC=C(C=C3)NC(=O)C,82.2,46287399
dataset_82,COC(=O)N1CCN(CC1)CCNC(=O)NCC2=CC=CS2,82.2,49677427
dataset_82,CN1C2=C(C=CN=C2)N=C1C3CCN(C3)C(=O)CC4=CC=CC=C4,82.2,83275838
dataset_82,CCCN1CCN(CC1)C(=O)C2=NN(C3=C2CNCC3)CC4CC4,82.2,124037875
dataset_82,C1CC1COCC2=CN(N=N2)C3CN(C3)C(=O)C4=CC=CC(=C4)C#N,82.2,124048280
dataset_82,C1[C@H]([C@@H](CN1CC2=CN=CC=C2)C3=NC(=NO3)C4=CN=CC=C4)CO,82.2,124050688
dataset_82,C1[C@H]([C@@H](CN1CC2=CN=CC=C2)C3=NC(=NO3)C4=CC=NC=C4)CO,82.2,124050719
dataset_82,C1[C@H]([C@@H]([C@H](N1)CO)O)O,82.3,451991
dataset_82,C1CN(CCC1C(=O)N)CC(=O)NCC2=CC=CC=C2,82.3,800724
dataset_82,C1CC1C2=CC(=NN2C3CCS(=O)(=O)C3)C(=O)NCCC4=NC5=CC=CC=C5N4,82.3,21008576
dataset_82,CCN1CCN(CC1)C2=NC3=C(C=C(C=C3)NC(=S)N(C)CCC4=CC=CC=N4)C(=C2)C,82.3,46247967
dataset_82,CCCCN(C)CCNC(=S)NC1=CC2=C(C=C1)N=C(C=C2C)N3CCN(CC3)CC,82.4,24761443
dataset_82,C1CN(CCN1C2=CC=CC=N2)S(=O)(=O)CCNC(=O)C3=CNC(=O)C=C3,82.4,25285268
dataset_82,CC1=C(N2C=CC=CC2=N1)C3=NNC(=O)C=C3,82.4,52903914
dataset_82,CCN(CC)CCNS(=O)(=O)C1=C(OC(=C1)C2=C(C=NN2)C(=O)N3CCOCC3)C,82.4,53183170
dataset_82,CCN1CCN(CC1)C2=CC(=NC3=NC(=NN23)CN4CCN(CC4)C5=CC=CC=N5)C,82.4,53202413
dataset_82,C1CC(CN(C1)CC2=CC=CC=N2)OCC3=NC(=NO3)C4=NC=CN=C4,82.4,71687060
dataset_82,CC(C)N(CC#CCNC(=O)COC)C(C)C,82.4,71792474
dataset_82,CC1=CN=C(N1C(C)C)CCC2CCCN2C(=O)C3=CN(C=N3)C,82.4,124039691
dataset_82,CC(C)CN1CCC2=NN=C(N2CC1)C3CCN(C3)CC4=CN=CC=C4,82.4,124052608
